OID_,ident,DateTimeSim,POINT_X,POINT_Y
3730,AAL2056,4/7/2021 11:22:55,-76.60527517,39.32354338
4289,AAL2072,4/7/2021 11:22:55,-76.64981321,38.72285843
4620,AAL2262,4/7/2021 11:22:55,-77.77523874,39.42080867
4840,AAL324,4/7/2021 11:22:55,-77.01591724,39.03800187
5195,AAL327,4/7/2021 11:22:55,-77.76947537,39.01311487
5632,AAL2149,4/7/2021 11:22:55,-77.08494136,39.05614994
6040,AAL2248,4/7/2021 11:22:55,-77.00926665,39.18215595
6499,AAY1622,4/7/2021 11:22:55,-76.62821887,38.73039761
6748,ASH6006,4/7/2021 11:22:55,-77.7062104,38.81046017
7184,ASH6154,4/7/2021 11:22:55,-77.76792807,38.97037131
7412,AMX409,4/7/2021 11:22:55,-76.50346777,39.3893725
8026,ASH6263,4/7/2021 11:22:55,-77.78077791,38.96023311
8299,ASH6301,4/7/2021 11:22:55,-77.0543207,39.4231693
8889,ASQ4103,4/7/2021 11:22:55,-76.16639043,38.84438999
9089,ASQ4242,4/7/2021 11:22:55,-76.63157241,39.21006534
9532,ASQ4457,4/7/2021 11:22:55,-77.85518498,39.38359812
9778,ASQ4255,4/7/2021 11:22:55,-76.39731458,39.00600923
10006,AWI3982,4/7/2021 11:22:55,-77.58683354,38.67612623
10211,ASQ5146,4/7/2021 11:22:55,-76.34012449,38.75456913
10461,ASQ5209,4/7/2021 11:22:55,-76.14950497,38.68931181
10614,AWI4057,4/7/2021 11:22:55,-77.32233388,38.97103749
10965,ASQ5132,4/7/2021 11:22:55,-77.14043727,39.34213923
11517,DAL1469,4/7/2021 11:22:55,-77.74181366,39.00665308
11910,ASQ5477,4/7/2021 11:22:55,-77.83712459,39.39228494
12118,DAL1467,4/7/2021 11:22:55,-76.01322011,39.33387787
12230,AWI4121,4/7/2021 11:22:55,-77.33214134,38.96809497
12561,AWI3903,4/7/2021 11:22:55,-77.50470157,39.19531947
12880,DAL1946,4/7/2021 11:22:55,-76.04028299,38.67526725
12997,AWI876A,4/7/2021 11:22:55,-77.00883202,39.05199732
13379,DAL151,4/7/2021 11:22:55,-77.30947975,38.94847497
13746,DAL2039,4/7/2021 11:22:55,-76.68899743,38.71796002
14026,DAL1561,4/7/2021 11:22:55,-77.05106137,39.42490497
14601,DAL1437,4/7/2021 11:22:55,-77.63649498,39.45018539
110,AAL1072,4/7/2021 11:22:56,-78.07467696,39.29574704
220,AAL1227,4/7/2021 11:22:56,-77.03307066,38.72289891
364,AAL1435,4/7/2021 11:22:56,-76.77020126,38.71682847
784,AAL1202,4/7/2021 11:22:56,-77.33000008,38.99244854
1139,AAL1678,4/7/2021 11:22:56,-77.15048106,39.33260404
